id,coin_rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,marketCap_to_supply
bitcoin,1,BTC,Bitcoin,19806875.0,21000000.0,2016621304899.061,13065572596.796734,101814.20869769012,2.709734984425189,101388.9960344483,101814.20869769012
ethereum,2,ETH,Ethereum,120471953.48729326,0.0,441849879158.1961,6324335644.766988,3667.657627920843,0.5735005182755692,3679.7600926512455,3667.657627920843
xrp,3,XRP,XRP,57449049415.0,100000000000.0,140286702867.76694,1076379128.3876183,2.4419325349383056,2.44201403707765,2.418906315776889,2.4419325349383056
tether,4,USDT,Tether,137520044570.0381,0.0,137527658477.32068,24697841414.03377,1.0000553657999922,0.0437176468495575,1.0001594140336445,1.0000553657999922
binance-coin,5,BNB,BNB,144006830.0,144006830.0,105023174188.49277,449416937.9842503,729.2930077586789,2.0533151792515154,727.6363861420251,729.293007758679
solana,6,SOL,Solana,483674762.1362276,0.0,104553145483.8027,946553060.4439294,216.1641534117408,0.9318165719697372,218.6252540626029,216.16415341174073
dogecoin,7,DOGE,Dogecoin,147522426383.7052,0.0,58163362935.47025,1137036125.594116,0.3942679385179552,2.7128411782504016,0.3897497153255767,0.3942679385179552
usd-coin,8,USDC,USDC,45820916309.18956,0.0,45827328362.03117,3057625555.2753425,1.0001399372460895,0.0207136360550416,0.999959586327148,1.0001399372460897
cardano,9,ADA,Cardano,35151153812.59065,45000000000.0,40020514740.14561,620019514.3355472,1.1385263469164082,5.617401045480282,1.0965505291651456,1.1385263469164082
steth,10,STETH,Lido Staked ETH,9637209.15384522,0.0,35139450230.35317,209649.95140302955,3646.2267934003103,0.5522168818084598,3669.5908509579504,3646.22679340031
tron,11,TRX,TRON,86188201949.85307,0.0,23278959423.640327,279694216.46180326,0.2700945013005926,2.6722488883102784,0.2680513258487606,0.2700945013005926
avalanche,12,AVAX,Avalanche,410215757.2452015,715748719.0,17950601225.460648,188883059.8971948,43.75892663413925,-0.4075477861471829,44.1474383026322,43.75892663413924
chainlink,13,LINK,Chainlink,638099970.4527867,0.0,15009132826.4276,320421858.588432,23.52160087983915,0.2666053001978643,23.913768887702084,23.52160087983915
shiba-inu,14,SHIB,Shiba Inu,589255324330599.9,0.0,14247142453.068275,139272565.18636122,2.4178215902e-05,1.4890110346235417,2.41377217145e-05,2.4178215901999998e-05
stellar,15,XLM,Stellar,30364260639.679337,50001806812.0,13930029808.596436,237558550.7223859,0.458764004626972,3.65244875207194,0.4521084101492348,0.45876400462697203
